scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect,file_size_mb,estimated_vram_mb
room,0.5,path_aware_v5_linear_falloff,,36.54880536981362,0.9873111324432567,0.0006519401393187,"[39.87595488444843, 39.92259772263524, 41.040559201002296, 30.43007435815195, 31.33244144663777, 31.65146333073649, 29.77429715920678, 31.868692375547866, 30.664922184988104, 30.098415757517483, 30.511041097826723, 30.568730786780613, 30.350741208006305, 33.10088297364365, 33.27732777534962, 30.26503974352043, 32.507119278536855, 30.642232030344637, 41.54300170002983, 38.265767708360265, 35.96453812386039, 41.060690889801194, 38.312681309420846, 38.40610374219321, 35.27170640459272, 41.32862059142514, 38.03138523602748, 43.28009390844781, 38.56674086478485, 36.836856626703664, 42.23843724291103, 32.12416629262424, 33.62141942782686, 40.87010348554638, 37.861838826562995, 40.83588469191727, 44.85129746292523, 48.03176220333101, 50.21777936855763]",796688,bf9000cd4b814935,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
room,0.5,path_aware_v5_sqrt_clamp,,36.248916988118665,0.986336439083784,0.0006968834648619,"[39.10572507747591, 39.3731174741164, 40.525234781237984, 30.018922846490884, 31.062429337342294, 31.25350553025266, 29.48057485783529, 31.65593916590811, 30.248475997363435, 29.689403882624198, 30.11403107652513, 30.175750100876222, 29.93839644274969, 32.6484041634871, 33.22155387883526, 29.809479414956634, 31.94365909540746, 30.24459670892621, 41.09250239288954, 37.8827200974503, 35.52241666001, 40.53148662317024, 37.75055866602156, 37.63331620529935, 34.89462502617452, 41.11734385152947, 39.248266615187575, 42.79343599179458, 37.931603779463536, 36.53356237031347, 41.689821401870006, 31.75249021123806, 33.62466616947895, 40.28929753519808, 39.28661776491394, 41.54290934772318, 44.07907040548259, 48.46181516436743, 49.54003642464062]",796688,04559823ba558fae,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
room,0.5,path_aware_v5_weighted_sum,,36.43468622420575,0.9739571335988167,0.0023298325315645,"[35.32222360340953, 36.81885781916546, 36.426260796404144, 41.984246279681244, 21.0364626109507, 26.731861594504615, 42.566729696781366, 20.263371707405206, 30.356643832464446, 29.284687684428544, 43.01548221919635, 46.00589729493197, 42.04113599671353, 28.336168587228826, 20.8563093733363, 45.771983126930955, 33.18977456939164, 35.273995258364124, 33.51394066606816, 29.424497337246812, 45.981525030892165, 37.105041332954286, 38.58849419555, 38.246022842264004, 66.19880315107785, 30.83589044247425, 19.92140407651715, 39.78428717120489, 81.86336471487898, 36.94358331386434, 38.949105253486, 44.536669285710325, 20.126874044571316, 42.56952839253082, 18.901866047865003, 18.365019293708123, 48.07969174302521, 29.50548404660079, 46.229578310244776]",796688,305abb3af4bf71ce,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
room,0.5,combined_0.7,0.7,33.015038442569235,0.9749250809351604,0.0023304475699917,"[38.586194628268075, 39.049418962837855, 39.698280087687024, 24.55624490535754, 24.705255101606063, 23.9371111126704, 25.13282654599402, 24.941126674972555, 23.30094918370405, 24.134194189635178, 25.68414644179692, 26.10737947021287, 25.664392419621322, 26.692048075286515, 25.519477469808514, 29.473337767834916, 27.312916263009086, 24.758364288145494, 40.73149105303152, 36.003415299807614, 35.45206654623677, 40.12890606957819, 36.655215307505756, 35.32899539552231, 35.35466346388371, 39.45965118044692, 35.56379009662115, 41.46816316272297, 37.56858816613931, 33.351702765923434, 41.2867384985434, 26.35549975898624, 24.688845887983632, 36.81963085192669, 34.5309726232302, 39.91896459603965, 41.89359130525684, 47.86435462683264, 47.90758901553321]",796688,6be92d80320772d3,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
room,0.5,raster_importance,,48.79104759283669,0.9966434683555212,0.000342845718519,"[54.30654098308709, 55.86157267513449, 55.00896642752612, 58.361913526026115, 38.01141731502442, 47.80214794607967, 57.26203953839763, 36.459661968168724, 47.91271931232533, 51.131256611100625, 55.68445288238415, 52.77670030429812, 57.548095323372905, 51.02861673576315, 35.12738741057723, 54.3464121769761, 52.77483778074145, 50.687179092536084, 54.32289688980227, 45.9094415317447, 60.13785457084343, 56.977302362318355, 52.48357118480938, 52.972011264715334, 56.64960201980254, 47.583915408911686, 34.30164894434364, 51.325990376507846, 60.525849512710785, 46.483130289748686, 51.02348758029831, 48.42882623708593, 34.385980150092266, 50.53949165315344, 27.008641800071302, 27.04691839001374, 43.53588791376245, 41.50468251075417, 47.61180751962069]",796688,de37025320968e33,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
room,0.5,random,,24.71060483497586,0.8994431235851386,0.0074055587263921,"[27.78031586264742, 26.424559927660837, 26.879141178341147, 22.742556280549515, 22.833481182286146, 22.651426553724562, 23.273319473211195, 23.19831334068923, 22.08268306773431, 23.290220653485267, 23.50061508119381, 23.270215228417687, 23.338310592973357, 24.4997681027084, 23.983972287770282, 23.010554182241325, 24.67199873353639, 23.298370628344216, 26.64857609269346, 25.050022586684086, 27.104517805904553, 27.427591565492804, 27.009312065366167, 25.30796549197822, 25.844441192205704, 26.30857575668992, 25.437831303017717, 26.040404997702275, 25.84739763103242, 26.186400188743146, 25.182323123455035, 23.096270556038014, 23.8701705848213, 25.14975864048495, 24.75767140803496, 25.338506019511357, 21.949696849108072, 25.450177895203808, 23.97615445237564]",796688,b47c3f5de2c5a51f,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
counter,0.5,visibility,,23.300177428303936,0.9184615294138592,0.0055394683188448,"[21.647982376735673, 22.265246019217916, 22.209127791835126, 21.553570472815984, 29.103540187394703, 19.386234876780037, 20.416579819683186, 22.162721631588525, 22.765305977093774, 23.3194115119974, 20.467517823323472, 26.07784085887134, 20.962094771061217, 22.13882419028108, 24.2722479667175, 23.774319115949822, 21.951389013663977, 22.729371592174385, 24.218287637387373, 22.569687804845575, 25.283337002148496, 28.854557444654695, 23.34641790734977, 25.600621691300685, 27.6222571915722, 24.778574610968413, 25.30999552423197, 21.12002838630496, 23.022579936507718, 20.075651714661014]",611478,97a8eb323a89fd06,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,path_aware_v5_pure_sum,,31.97032593353877,0.9808677971363068,0.0010283514566253,"[30.371982090407226, 27.533765447521773, 31.20491058288726, 30.74996345050583, 32.89275734257076, 29.80248737105046, 31.346259533967398, 32.7609705713919, 32.05819918191434, 30.574440355087958, 30.12368316326748, 34.239809469294855, 31.357802701567007, 28.979244354021446, 32.104012596065296, 30.738470015311368, 30.535928466070636, 31.136426851325282, 33.35976029960728, 32.42017627522153, 33.8261443904344, 38.34605100506226, 32.435627292703366, 34.018192359764, 35.296507502446474, 33.64137260542172, 34.96021966878043, 30.262237413588302, 31.92703952257478, 30.105336126330442]",611478,b7f90639fa35e9c8,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,path_aware_v5_linear_falloff,,30.396908933683857,0.974630880355835,0.0012841860239859,"[29.100493861512486, 29.23139676795396, 30.00328039621945, 29.105018256025936, 32.52829819176151, 28.489679632277213, 29.118167222255696, 30.280305165729654, 30.79079434846111, 30.429095548220918, 28.55813971917229, 33.08349317819827, 29.23882812401073, 28.588634596464747, 30.28539485527096, 29.72927033155649, 28.573493980903454, 28.29857155450993, 30.3745198844384, 29.65847971912384, 30.75409941855679, 35.126788382172734, 30.164197102104445, 31.8525877386193, 33.62074115969298, 31.746476984384874, 33.143508118730885, 29.171137665574317, 30.971795116134444, 29.89058099047795]",611478,27d29253e1094616,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
counter,0.5,path_aware_v5_sqrt_clamp,,29.79040986327188,0.9719278037548064,0.0014404866242936,"[28.225690721552308, 28.850639384098933, 29.347491929320753, 28.523273146904003, 32.37046788920915, 27.655868058783668, 28.200752445400838, 29.580351094645316, 30.027475751685127, 30.188580805270515, 27.86683976080498, 32.38877293960517, 28.53567346148823, 28.263005273068487, 29.72944082938014, 29.286917526487063, 28.095738954889505, 27.575906077258992, 29.568648352851167, 29.165914859833784, 30.248697057530297, 34.34447782345117, 29.64753307861045, 31.270830530396534, 33.071151771817746, 31.114644274380865, 32.509236712896936, 28.590244668645326, 30.326414187884943, 29.14161653000378]",611478,73122c94b37e81a1,False,0.1,150.0,1.7777777777777777,10.746715545654297,15.746154785156252
