scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect
train,0.5,visibility,,21.318146969921763,0.8658508429160485,0.013021744155724133,"[25.409662142464274, 22.873908013233404, 22.33057576039977, 21.870706512197863, 21.360695572891252, 23.234349541736577, 25.070509486019997, 27.632523385196958, 27.819198730787775, 28.813742634803432, 28.980281926058417, 28.325454646433535, 27.724458680723586, 27.24682736492866, 26.644187844642783, 27.495039586269794, 28.68748769164589, 25.6287002561432, 12.76507388026834, 18.767108144882584, 16.908137135235734, 15.395316678339926, 22.82975996379306, 23.067473539022206, 24.00891316616265, 24.767224044780527, 23.755543419374895, 21.912692375975897, 21.133725496198824, 20.126031978963823, 19.941569323724902, 20.329904193736688, 20.85698694836861, 21.17129386694824, 21.4402701341325, 20.74702041383121, 20.292281238145094, 17.00204284960502, 16.923521253006847, 16.986726255656926, 15.765161489747676, 15.90596054188274, 16.573174848741065, 18.31052742534442, 19.60073591816944, 19.852929658625577, 20.24765252877558, 19.102293826817615, 20.225926643149307, 20.760450327605437, 20.626530128451233, 20.321082811635968, 20.468799183704025, 18.951669447891636, 18.620826905050897, 21.633130570168085, 19.26511723503173, 20.06977954609422, 20.147437023384974, 19.82302501660756, 21.306573529847874, 21.01937031586842, 20.824738974832968, 21.092120085325714, 19.61840558112459, 27.12862301190053, 21.352289315890083, 21.398178101634112, 23.79707955981604, 13.016545268995255, 21.939894683644575, 20.205737784426812, 22.485660049683624, 21.298737470594062, 19.46270727136834, 20.705003329752884, 17.48664738282406, 16.721924035830796, 23.35602305546616, 21.534479020531773, 20.948438396370616, 21.263176637068316, 24.77338983098437, 24.06551559440674, 25.614371722985524, 26.7700566910868, 9.083345693358844, 21.600250679143112, 20.793016109574516, 15.466953366569813, 19.27298455836237]",513254,65035eace0ae19bc,False,0.1,150.0,1.7777777777777777
train,0.5,path_aware_v5_pure_sum,,22.593340187502875,0.8923633026552724,0.010596723810022513,"[26.4662507849304, 29.790038296204386, 28.442842893114644, 25.269613070648937, 25.82077798488266, 26.394202448725114, 27.681232461372616, 27.621335119727284, 26.534901938017658, 26.59959403803058, 27.621384468952265, 27.87137074280382, 27.471593444744332, 27.385019530040733, 24.97617050067643, 25.137289398841567, 26.07206391678696, 25.27818999743271, 11.911379441797438, 19.787754292857006, 17.060285223842886, 15.591466990723188, 19.526851140498664, 18.246889156061364, 22.35292947807947, 23.127595605898467, 23.62041764915652, 21.087410889536166, 21.7811779754566, 23.142794655791853, 23.186995030933616, 21.96526967325547, 20.51257378925949, 21.834069794987307, 23.842784125169345, 22.700711649980985, 22.950427078814872, 15.932010438088707, 15.864158964680449, 18.251818519538887, 16.167451944515218, 16.52147773434542, 17.640999494395714, 19.97197828894967, 21.238111041896055, 20.461224373276785, 21.709265457144703, 19.913331014198782, 21.445268529164643, 21.927476196469136, 21.88541161462922, 21.810524266042943, 22.08455938748372, 18.819422040196816, 18.769396197951902, 25.248145024118266, 23.52410270180951, 24.668755292343075, 24.237884203905654, 21.606328820564787, 22.551490272381464, 20.171200813340757, 23.30522081210522, 24.74466277836379, 26.288037631941222, 26.825090558593033, 22.017276527951, 22.75846032496553, 20.147428413030248, 12.885089076241679, 22.581088949948974, 20.29427385975876, 23.667245017255514, 20.299528594918115, 22.054069364986667, 25.82627134902247, 18.307547061401092, 25.878758437610646, 28.325861974619954, 26.321680703516577, 25.480768399037416, 23.647982023027083, 30.571274001455492, 24.57264536246392, 27.772765725411777, 26.53350706030828, 15.05992223771473, 21.023930705809878, 23.3475061285238, 16.11180923465782, 20.258807438655197]",513254,b4a4a968feb92ec8,False,0.1,150.0,1.7777777777777777
train,0.5,path_aware_v5_linear_falloff,,24.705604733306746,0.9206490952235001,0.0070603119726241614,"[26.361910489541106, 29.55964081008809, 29.23549007649759, 27.098079662269257, 28.026014899370374, 28.928296215044224, 28.73627781367233, 28.865395084785526, 27.647939327080508, 27.54539913820164, 28.77731683157538, 29.035309533491525, 28.3276526151778, 28.211808833168295, 25.953188939580954, 26.160024979733258, 26.561783608226524, 25.364062998887754, 11.896535756284079, 19.66426662163801, 17.036408802768825, 15.592199029735912, 20.424501979747255, 18.925475704086182, 22.496139383123513, 23.411667424715148, 24.27664024406551, 21.996898999088028, 21.993204160413367, 23.330580713175458, 23.421027368164403, 22.64184772073834, 20.93463198173903, 21.4093453415091, 23.614165619634015, 25.25712047702795, 24.717117374162854, 24.16376203784815, 23.249245680723398, 23.11311401088744, 24.267676077026156, 23.94041093657996, 23.76010383370309, 25.025081969405385, 25.532080019107994, 25.40442402764716, 25.7055212998386, 26.48243127801612, 26.212193914186223, 23.773580744763, 23.698106965672523, 23.442462655247137, 23.879515940959134, 29.013975689572806, 23.04120610324755, 26.51160332358248, 24.614080992970422, 24.92150725615255, 25.23640788294655, 24.903910390823896, 24.827069265273973, 23.792305701134833, 31.107077373848966, 25.954237696361766, 29.41205962682645, 27.64216768431811, 27.513805540922394, 24.72806705772428, 22.905693979062587, 23.176364198095534, 21.83427770300238, 20.557807897646644, 24.17590694454779, 22.861014662704527, 23.18106157458855, 26.713247344803367, 20.235095677902088, 24.973060209150056, 31.369120276994895, 27.80926702312895, 25.935946984601273, 24.14973589544367, 32.832856476955286, 23.521002333402244, 28.61734545435814, 27.39430159679128, 15.285848127832535, 21.785723559875873, 23.745715554102453, 23.194001244042074, 23.651076476353644]",513254,ca3f0dfa8fa8e642,False,0.1,150.0,1.7777777777777777
train,0.5,combined_0.7,0.7,21.782608275081778,0.8899189142080454,0.010449844005691645,"[26.289408295145165, 27.0726053695722, 26.514591282329533, 24.5678459337148, 24.305985850675874, 25.328744441510175, 24.57884298447816, 23.950648529933794, 21.557025177410885, 21.740474312644274, 22.638327353806922, 23.681786789322715, 24.615943845468568, 24.4202918936966, 20.00989901776199, 20.18583726186691, 20.72786697047478, 21.846962015172497, 12.097690387679938, 19.05660841057485, 16.724247200526378, 16.43961474586144, 20.043383737724717, 19.366518967574372, 22.558473008054754, 22.80819989242556, 22.665468427609174, 19.325978578627442, 19.489500331119135, 19.505289358512915, 19.742147852618864, 20.268067831689116, 19.943198564439662, 20.519141316287744, 21.509607411153922, 22.17217475680059, 21.897667642399455, 17.12416507476435, 17.733465762227727, 19.354324245108327, 21.002430090204882, 20.848514297900422, 20.64470701843085, 21.663004761059863, 22.426310080260464, 22.402868524469458, 23.08644573391006, 22.55893661506727, 22.318534506185465, 20.434775655087982, 20.644154888324927, 20.753774106434673, 21.140444429411453, 24.731967421330015, 21.03663145739216, 24.99484498081163, 20.485595766071544, 21.886633718301947, 22.10161087961486, 23.387152791682713, 23.056862540900156, 23.130037904268942, 28.57549180263565, 22.737663123191414, 28.812001496359038, 25.446905966825245, 23.78524614364903, 20.9792424611113, 21.12484526872093, 13.554658476149532, 18.599518663413416, 18.552837360299048, 19.406332879467936, 19.16710867071411, 20.326356901888516, 25.29772442910081, 19.008017692519484, 21.826939958126175, 29.744253719342645, 25.784826173233885, 23.023056735532172, 21.909442552568272, 31.021264075241916, 21.39035571720799, 24.052243568498675, 22.019360536876256, 15.629774153464709, 19.37487057198827, 21.43079957301169, 20.23045425200401, 20.291501113411595]",513254,d18f8391e9f46fba,False,0.1,150.0,1.7777777777777777
